neighbourhood_group,latitude,longitude,average_price
Morris Park,40.85465,-73.85669,$69.95 
Morrisania,40.82424,-73.91316,$83.04 
Mott Haven,40.81128,-73.92399,$98.95 
Mount Eden,40.84058,-73.91382,$66.80 
Mount Hope,40.85229,-73.90631,$92.61 
Murray Hill,40.7463,-73.97926,$217.71 
Navy Yard,40.69839,-73.97666,$109.31 
Neponsit,40.57215,-73.85822,$275.00 
New Brighton,40.64465,-74.09272,$52.25 
New Dorp,40.57044,-74.11747,$103.33 
New Dorp Beach,40.56464,-74.1,$78.00 
New Springville,40.58091,-74.15485,$79.67 
NoHo,40.72825,-73.99286,$261.46 
Nolita,40.72297,-73.99684,$184.15 
North Riverdale,40.90804,-73.90005,$93.50 
Norwood,40.87605,-73.88047,$75.11 
Oakwood,40.56233,-74.12673,$107.20 
Olinville,40.88438,-73.86397,$59.43 
Ozone Park,40.67657,-73.84083,$82.67 
Park Slope,40.67343,-73.98338,$168.56 
Parkchester,40.83645,-73.86634,$84.40 
Pelham Bay,40.84423,-73.83602,$131.92 
Pelham Gardens,40.86617,-73.848,$117.23 
Port Morris,40.8064,-73.92395,$94.67 
Port Richmond,40.63748,-74.13496,$51.22 
Prince's Bay,40.52211,-74.18028,$300.00 
Prospect Heights,40.67811,-73.96428,$142.08 
Prospect-Lefferts Gardens,40.65944,-73.96238,$108.31 
Queens Village,40.72413,-73.76133,$95.94 
Randall Manor,40.62859,-74.12272,$189.62 
Red Hook,40.67659,-74.01551,$146.67 
Rego Park,40.73349,-73.86009,$92.86 
Richmond Hill,40.7017,-73.82316,$92.22 
Richmondtown,40.57093,-74.12429,$76.00 
Ridgewood,40.70382,-73.89797,$83.19 
Riverdale,40.88579,-73.91599,$248.60 
Rockaway Beach,40.58615,-73.81245,$163.54 
Roosevelt Island,40.76193,-73.9501,$99.34 
Rosebank,40.61438,-74.0664,$138.25 
Rosedale,40.67112,-73.73529,$80.45 
Rossville,40.54724,-74.20877,$61.00 
Schuylerville,40.83248,-73.83203,$62.00 
Sea Gate,40.57645,-74.01065,$418.23 
Sheepshead Bay,40.58422,-73.94079,$152.78 
Shore Acres,40.61077,-74.06824,$145.33 
Silver Lake,40.62257,-74.09984,$93.25 
SoHo,40.72718,-74.00244,$260.11 
Soundview,40.82138,-73.87603,$52.06 
South Beach,40.59385,-74.08825,$45.00 
South Ozone Park,40.67472,-73.80499,$90.22 
South Slope,40.66829,-73.98779,$144.88 
Springfield Gardens,40.66228,-73.76676,$107.48 
Spuyten Duyvil,40.87991,-73.91673,$209.67 
St. Albans,40.70554,-73.76637,$96.72 
St. George,40.64633,-74.08156,$120.05 
Stapleton,40.62766,-74.07988,$104.00 
Stuyvesant Town,40.73196,-73.97932,$174.71 
Sunnyside,40.74559,-73.92313,$82.86 
Sunset Park,40.6612,-73.99423,$102.76 
Theater District,40.7609,-73.98692,$253.53 
Throgs Neck,40.81476,-73.80001,$96.78 
Todt Hill,40.60926,-74.10092,$227.00 
Tompkinsville,40.63536,-74.08537,$80.95 
Tottenville,40.50868,-74.23986,$309.00 
Tremont,40.83875,-73.88728,$78.50 
Tribeca,40.71915,-74.01017,$381.11 
Two Bridges,40.71137,-73.99403,$104.28 
Unionport,40.83013,-73.85742,$134.62 
University Heights,40.85811,-73.90675,$57.83 
Upper East Side,40.77065,-73.95269,$183.91 
Upper West Side,40.80178,-73.96723,$193.32 
Van Nest,40.84166,-73.86818,$110.14 
Vinegar Hill,40.70163,-73.98208,$218.48 
Wakefield,40.88855,-73.85127,$108.68 
Washington Heights,40.83139,-73.94095,$99.63 
